<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/15/21;15:55:00,648.0500000,651.1400000,648.0500000,650.3100000,25954
07/15/21;16:00:00,650.3100000,651.6000000,649.7900000,650.9200000,16340
07/16/21;09:35:00,655.1300000,656.4700000,652.8800000,656.4000000,13719
07/16/21;09:40:00,654.5200000,655.6900000,650.0700000,650.5600000,6620
07/16/21;09:45:00,651.1800000,651.4000000,649.1700000,649.5400000,5166
07/16/21;09:50:00,650.3000000,650.9900000,647.7200000,647.7800000,6217
07/16/21;09:55:00,648.0000000,649.9300000,646.7200000,649.0900000,6548
07/16/21;10:00:00,649.7000000,649.7000000,644.4400000,645.4000000,8017
07/16/21;10:05:00,645.6200000,646.5300000,644.0700000,645.5000000,5523
07/16/21;10:10:00,645.7500000,645.9600000,643.5400000,643.7800000,6402
07/16/21;10:15:00,643.7400000,645.0000000,643.6200000,645.0000000,13012
07/16/21;10:20:00,644.7700000,646.7100000,644.5200000,646.3100000,7988
07/16/21;10:25:00,646.6100000,646.6100000,643.8000000,643.8500000,8877
07/16/21;10:30:00,644.5500000,646.1900000,643.8500000,645.4600000,5615
07/16/21;10:35:00,645.0100000,648.2300000,644.9800000,647.6000000,8465
07/16/21;10:40:00,647.5500000,649.6200000,646.7600000,649.1900000,5665
07/16/21;10:45:00,649.2600000,649.6200000,648.0600000,649.0800000,7388
07/16/21;10:50:00,647.9800000,648.4700000,647.1000000,648.1200000,2212
07/16/21;10:55:00,648.6500000,648.7500000,645.7500000,645.9100000,3994
07/16/21;11:00:00,645.8800000,646.3100000,644.1000000,644.5000000,6040
07/16/21;11:05:00,644.5400000,645.5100000,643.7300000,644.0300000,12898
07/16/21;11:10:00,643.9900000,644.5000000,643.0700000,643.2700000,8174
07/16/21;11:15:00,643.0300000,644.3750000,642.6300000,643.2000000,3846
07/16/21;11:20:00,643.7100000,644.9500000,643.5000000,644.9500000,4411
07/16/21;11:25:00,644.6500000,644.8000000,643.4400000,643.9600000,3286
07/16/21;11:30:00,644.0000000,645.0100000,643.4000000,643.4200000,3149
07/16/21;11:35:00,643.4000000,643.7500000,642.7800000,643.5400000,2354
07/16/21;11:40:00,643.6600000,644.2900000,643.3700000,644.2900000,3219
07/16/21;11:45:00,644.5100000,645.8300000,644.5100000,645.2200000,7515
07/16/21;11:50:00,645.1200000,645.5600000,644.0900000,644.4900000,3906
07/16/21;11:55:00,644.5700000,646.9100000,644.0000000,646.9100000,4041
07/16/21;12:00:00,646.4000000,646.7000000,646.1800000,646.1800000,1682
07/16/21;12:05:00,646.6200000,649.4000000,646.5500000,646.6600000,6191
07/16/21;12:10:00,646.6900000,647.2900000,646.5100000,646.6400000,2567
07/16/21;12:15:00,646.1900000,646.6900000,646.0000000,646.3100000,1200
07/16/21;12:20:00,646.5300000,647.5000000,646.5300000,647.3500000,2823
07/16/21;12:25:00,647.7900000,648.1200000,647.7400000,647.7700000,2598
07/16/21;12:30:00,649.0000000,649.2200000,648.9500000,649.0000000,6340
07/16/21;12:35:00,649.0600000,649.6100000,649.0600000,649.6000000,4946
07/16/21;12:40:00,649.6000000,649.6000000,648.7900000,648.9800000,3246
07/16/21;12:45:00,649.1000000,649.4200000,648.6300000,649.4200000,6087
07/16/21;12:50:00,649.6000000,649.6600000,648.3100000,649.0000000,5535
07/16/21;12:55:00,649.0100000,651.8000000,648.8400000,651.7800000,9034
07/16/21;13:00:00,651.9200000,652.2700000,650.8700000,650.8700000,6548
07/16/21;13:05:00,651.1100000,651.3300000,650.6000000,651.1700000,1035
07/16/21;13:10:00,651.1700000,652.0000000,650.7800000,651.7400000,6522
07/16/21;13:15:00,651.5800000,651.5800000,651.0600000,651.3500000,1635
07/16/21;13:20:00,651.2500000,651.2500000,649.3200000,649.3600000,6502
07/16/21;13:25:00,649.0400000,649.2900000,647.2100000,647.6500000,6776
07/16/21;13:30:00,647.8450000,648.0000000,647.4700000,647.5300000,1400
07/16/21;13:35:00,646.9000000,647.5900000,646.7900000,647.0500000,2314
07/16/21;13:40:00,647.0400000,647.0900000,646.0900000,646.0900000,5868
07/16/21;13:45:00,645.8800000,646.4900000,645.5800000,646.4900000,5336
07/16/21;13:50:00,646.4600000,646.9500000,646.0300000,646.9500000,2613
